datetime,Anemometer;wind_speed;Avg (m/s),Anemometer;wind_speed;Max (m/s),Anemometer;wind_speed;Min (m/s),Anemometer;wind_speed;StdDev (m/s),Anemometer;wind_speed;Count (),Wind Vane TMR;wind_direction;Avg (°),Wind Vane TMR;wind_direction;StdDev (°),Wind Vane TMR;wind_direction;Count (),Hygro/Thermo;humidity;Avg (%),Hygro/Thermo;humidity;Max (%),Hygro/Thermo;humidity;Min (%),Hygro/Thermo;humidity;StdDev (%),Hygro/Thermo;humidity;Count (),Hygro/Thermo;temperature;Avg (°C),Hygro/Thermo;temperature;Max (°C),Hygro/Thermo;temperature;Min (°C),Hygro/Thermo;temperature;StdDev (°C),Hygro/Thermo;temperature;Count (),Barometer;air_pressure;Avg (hPa),Barometer;air_pressure;Max (hPa),Barometer;air_pressure;Min (hPa),Barometer;air_pressure;StdDev (hPa),Barometer;air_pressure;Count (),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Avg (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Max (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Min (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;StdDev (W/m²),DHI (Diffuse Horizontal Irradiance);solar_irradiance;Count (),GHI (Global Horizontal Irradiance);solar_irradiance;Avg (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Max (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Min (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;StdDev (W/m²),GHI (Global Horizontal Irradiance);solar_irradiance;Count (),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Avg (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Max (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Min (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;StdDev (W/m²),DNI (Direct Normal Irradiance) Pyrheliometer;solar_DNI;Count (),Precipitation;precipitation;Count (),Precipitation;precipitation;Sum (mm),GTI (Global Tilt Irradiance) PV Cell;voltage;Avg (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Max (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Min (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;StdDev (W/m2),GTI (Global Tilt Irradiance) PV Cell;voltage;Count (),Theta;other;Avg (°),Theta;other;Max (°),Theta;other;Min (°),Theta;other;StdDev (°),Theta;other;Count (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A5;channel;Avg (V),A5;channel;Max (V),A5;channel;Min (V),A5;channel;StdDev (V),A6;channel;Avg (V),A6;channel;Max (V),A6;channel;Min (V),A6;channel;StdDev (V),A7;channel;Avg (V),A7;channel;Max (V),A7;channel;Min (V),A7;channel;StdDev (V),C1;channel;Avg (I),C1;channel;Max (I),C1;channel;Min (I),C1;channel;StdDev (I),C2;channel;Avg (I),C2;channel;Max (I),C2;channel;Min (I),C2;channel;StdDev (I),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-12-02 00:00:00,2.2321,4.8652,0.5228,1.042,120,84.7615,44.9613,120,77.2146,77.5475,76.9372,0.2013,120,26.4593,26.4928,26.4074,0.0222,120,1006.6744,1006.8422,1006.4394,0.0833,120,0,0,0,0,120,0,0,0,0,120,13.8427,14.2604,13.2775,0.2079,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4446,3.4474,3.4407,0.0014,0.5646,0.5649,0.5641,0.0002,0.7721,0.7755,0.7694,0.002,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,219.7917,506,34,113.2562,0,0,0,0,282.1583,986,18,167.6406,36,48.15,53,45,23.67,23.68,23.63
2022-12-02 00:10:00,2.5717,5.3804,0.5504,0.9913,120,91.4164,26.9289,120,76.8906,77.0592,76.632,0.0825,120,26.506,26.5386,26.4501,0.0212,120,1006.6004,1006.8239,1006.4211,0.0897,120,0.004,0.2402,0,0.0309,120,0,0,0,0,120,13.8467,14.2604,13.2775,0.2207,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4433,3.4471,3.4404,0.0015,0.5651,0.5654,0.5645,0.0002,0.7689,0.7706,0.7663,0.0008,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,256.7083,562,37,107.7469,0,0,0,0,264.725,841,45,88.9194,36,48.0833,49,45,23.67,23.68,23.63
2022-12-02 00:20:00,1.8308,3.9728,0.348,0.9016,120,103.705,41.2379,120,76.9908,77.1813,76.8151,0.1025,120,26.3668,26.4531,26.3158,0.0397,120,1006.4165,1006.6408,1006.238,0.0782,120,0,0,0,0,120,0,0,0,0,120,13.7526,14.2604,13.2775,0.1904,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4403,3.444,3.4373,0.0013,0.5637,0.5645,0.5632,0.0004,0.7699,0.7718,0.7682,0.001,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,176.175,409,15,98.0037,0,0,0,0,313.4167,994,21,137.7246,36,48.55,53,47,23.67,23.68,23.63
2022-12-02 00:30:00,1.8094,3.7244,0.532,0.6624,120,99.1802,39.5035,120,77.2563,77.456,77.1508,0.0842,120,26.3101,26.3311,26.2761,0.0138,120,1006.2629,1006.4577,1006.0549,0.0667,120,0,0,0,0,120,0,0,0,0,120,13.7935,14.2604,13.2775,0.2,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4377,3.441,3.4342,0.0011,0.5631,0.5633,0.5628,0.0001,0.7726,0.7746,0.7715,0.0008,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,173.85,382,35,72.0009,0,0,0,0,306.0583,957,83,139.721,36,48.4,53,47,23.67,23.68,23.63
2022-12-02 00:40:00,2.2453,4.764,0.5136,0.9614,120,98.4625,37.5703,120,77.6747,77.8222,77.456,0.1248,120,26.3161,26.3433,26.2822,0.0164,120,1006.2557,1006.4394,1006.0549,0.0765,120,0,0,0,0,120,0,0,0,0,120,13.7976,14.2604,13.2775,0.1943,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4376,3.4407,3.4342,0.0013,0.5632,0.5634,0.5628,0.0002,0.7767,0.7782,0.7746,0.0012,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,221.225,495,33,104.4947,0,0,0,0,298.25,994,44,136.3047,36,46.95,49,41,23.67,23.68,23.63
2022-12-02 00:50:00,2.4462,4.8652,0.6332,1.0049,120,89.7258,42.3519,120,77.6999,77.8222,77.3644,0.1314,120,26.2488,26.3372,26.2029,0.0389,120,1006.2391,1006.4394,1006.0366,0.0815,120,0,0,0,0,120,0,0,0,0,120,13.773,14.2604,13.2775,0.1857,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4373,3.4407,3.4339,0.0014,0.5625,0.5634,0.562,0.0004,0.777,0.7782,0.7736,0.0013,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,243.0667,506,46,109.2271,0,0,0,0,285.55,949,58,149.6081,36,46.7,49,41,23.67,23.68,23.63
2022-12-02 01:00:00,2.5222,5.7116,0.4124,1.3133,120,89.6648,41.6226,120,77.503,77.7612,77.3339,0.1106,120,26.3458,26.3891,26.2761,0.0323,120,1006.1901,1006.4394,1006.0366,0.1006,120,0,0,0,0,120,0,0,0,0,120,13.9,14.2604,13.2775,0.2361,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4365,3.4407,3.4339,0.0017,0.5635,0.5639,0.5628,0.0003,0.775,0.7776,0.7733,0.0011,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,251.325,598,22,142.7467,0,0,0,0,282.6917,998,54,150.3442,36,46.9833,49,45,23.67,23.68,23.63
2022-12-02 01:10:00,2.1544,4.764,0.486,1.0372,120,90.3236,44.1864,120,77.4013,77.456,77.3644,0.0256,120,26.3977,26.4104,26.3768,0.0069,120,1006.2102,1006.4394,1006.0366,0.0762,120,0,0,0,0,120,0,0,0,0,120,13.8427,14.2604,13.2775,0.1979,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4368,3.4407,3.4339,0.0013,0.564,0.5641,0.5638,0.0001,0.774,0.7746,0.7736,0.0003,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,211.35,495,30,112.7418,0,0,0,0,284.1667,957,47,152.71,36,46.85,49,41,23.67,23.68,23.63
2022-12-02 01:20:00,2.262,4.81,0.44,0.9643,120,84.2845,45.1227,120,77.3909,77.456,77.3034,0.0253,120,26.3751,26.4013,26.3524,0.0108,120,1006.0233,1006.2563,1005.8535,0.1061,120,0,0,0,0,120,0,0,0,0,120,13.7566,14.2604,13.2775,0.174,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4337,3.4376,3.4309,0.0018,0.5637,0.564,0.5635,0.0001,0.7739,0.7746,0.773,0.0003,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,223.0417,500,25,104.8184,0,0,0,0,276.8917,1009,19,166.2483,36,46.9,49,41,23.66,23.68,23.63
2022-12-02 01:30:00,2.6074,6.282,0.5596,1.3332,120,82.4084,50.4661,120,77.0674,77.3034,76.8456,0.1178,120,26.2902,26.3555,26.2609,0.026,120,1005.9105,1006.0732,1005.8535,0.0795,120,0,0,0,0,120,0,0,0,0,120,13.7198,14.2604,13.2775,0.2332,120,120,0,0,0,0,0,120,None,None,None,None,0,3.4318,3.4346,3.4309,0.0013,0.5629,0.5635,0.5626,0.0003,0.7707,0.773,0.7685,0.0012,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,260.5833,660,38,144.9154,0,0,0,0,302.6083,988,20,201.0672,36,46.9667,49,43,23.67,23.68,23.63
